Hardcore Henry;9/12/15
He Named Me Malala;9/12/15
Miss You Already;9/12/15
Truth;9/12/15
12 Rounds 3: Lockdown;9/11/15
90 Minutes in Heaven;9/11/15
Beasts of No Nation;9/11/15
Eye in the Sky;9/11/15
Full Out;9/11/15
I Saw the Light;9/11/15
Listening;9/11/15
Meet the Patels;9/11/15
Our Brand Is Crisis;9/11/15
Everest;9/10/15
Knight of Cups;9/10/15
The Visit;9/10/15
Janis: Little Girl Blue;9/9/15
Legend;9/9/15
Maze Runner: The Scorch Trials;9/9/15
Welcome to Leith;9/9/15
The Editor;9/8/15
Lady Chatterley's Lover;9/6/15
Black Mass;9/4/15
Bloodsucking Bastards;9/4/15
Dirty Weekend;9/4/15
Equals;9/4/15
Hitchcock/Truffaut;9/4/15
Queen of the Desert;9/3/15
Solace;9/3/15
Student Bodies;9/3/15
The Transporter Refueled;9/3/15
A Walk in the Woods;9/2/15
Hitting the Apex;9/2/15
The Childhood of a Leader;9/2/15
Addicted to Fresno;9/1/15
Regular Show: The Movie;9/1/15
Curve;8/31/15
13 Cameras;8/30/15
Most Likely to Die;8/30/15
Summer Camp;8/30/15
Night Of The Living Deb;8/29/15
The Rise of the Krays;8/29/15
45 Years;8/28/15
A Perfect Day;8/28/15
Deathgasm;8/28/15
The Sand;8/28/15
Visions;8/28/15
War Room;8/28/15
Zipper;8/28/15
Holding the Man;8/27/15
No Escape;8/26/15
Queen of Earth;8/26/15
We Are Your Friends;8/26/15
LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!;8/25/15
Robert the Doll;8/24/15
Tiger House;8/24/15
Digging for Fire;8/21/15
Operator;8/21/15
The Bad Education Movie;8/21/15
The Curse of Downers Grove;8/21/15
Hitman: Agent 47;8/20/15
American Ultra;8/19/15
Breaking Through;8/19/15
Sinister 2;8/19/15
Slow Learners;8/19/15
6 Years;8/18/15
Batman Unlimited: Monster Mayhem;8/18/15
Macbeth;8/16/15
Show Me a Hero;8/16/15
Bite;8/15/15
Air;8/14/15
Amnesiac;8/14/15
Big Sky;8/14/15
Brothers;8/14/15
Mistress America;8/14/15
Once I Was a Beehive;8/14/15
People, Places, Things;8/14/15
The Boy;8/14/15
Turbo Kid;8/14/15
Barbie in Rock 'N Royals;8/13/15
Coconut Hero;8/13/15
Straight Outta Compton;8/13/15
The Man from U.N.C.L.E.;8/13/15
Z for Zachariah;8/13/15
Floride;8/12/15
Entertainment;8/11/15
Sense8: Creating the World;8/10/15
Lavalantula;8/8/15
Call Me Lucky;8/7/15
Cop Car;8/7/15
Extinction;8/7/15
Harbinger Down;8/7/15
Steve Jobs: The Man in the Machine;8/7/15
The Diary of a Teenage Girl;8/7/15
The Runner;8/7/15
Learning to Drive;8/6/15
The 33;8/6/15
Fantastic Four;8/5/15
Goosebumps;8/5/15
The Pack;8/5/15
War Pigs;8/3/15
June;8/1/15
Momentum;8/1/15
One & Two;8/1/15
A LEGO Brickumentary;7/31/15
Best of Enemies;7/31/15
Descendants;7/31/15
Hurricane of Fun: The Making of Wet Hot;7/31/15
Jenny's Wedding;7/31/15
Lila & Eve;7/31/15
The End of the Tour;7/31/15
The Gift;7/30/15
Listen to Me Marlon;7/29/15
The Little Prince;7/29/15
Justice League: Gods and Monsters;7/28/15
Vacation;7/28/15
I Am Chris Farley;7/27/15
Backtrack;7/25/15
Life;7/24/15
Smosh: The Movie;7/24/15
The Legend of Barney Thomson;7/24/15
The Vatican Tapes;7/24/15
Unexpected;7/24/15
Mission: Impossible - Rogue Nation;7/23/15
The Chosen;7/23/15
Sharknado 3: Oh Hell No!;7/22/15
Synchronicity;7/22/15
Anguish;7/21/15
3-Headed Shark Attack;7/20/15
Irrational Man;7/17/15
The Stanford Prison Experiment;7/17/15
Trainwreck;7/17/15
Joe Dirt 2: Beautiful Loser;7/16/15
Pixels;7/16/15
The Outskirts;7/15/15
Ant-Man;7/14/15
7 Days in Hell;7/11/15
Chris Tucker: Live;7/10/15
Ricki and the Flash;7/10/15
Self/less;7/10/15
Tangerine;7/10/15
The Gallows;7/10/15
The Suicide Theory;7/10/15
Containment;7/9/15
Paper Towns;7/9/15
A Hitman in London;7/6/15
Love;7/6/15
Contracted: Phase II;7/5/15
Mississippi Grind;7/4/15
Amy;7/3/15
Cartel Land;7/3/15
Magic Mike XXL;7/1/15
Strangerland;7/1/15
Staten Island Summer;6/30/15
Absolutely Anything;6/26/15
Knock Knock;6/26/15
Max;6/26/15
Reversal;6/26/15
Sleeping with Other People;6/26/15
Ted 2;6/25/15
Mythica: The Darkspore;6/24/15
Advantageous;6/23/15
Finders Keepers;6/22/15
A Deadly Adoption;6/20/15
Dope;6/19/15
Lava;6/19/15
Mr. Holmes;6/19/15
The Overnight;6/19/15
Minions;6/17/15
The Phoenix Incident;6/16/15
Southpaw;6/15/15
The Escort;6/15/15
The Girl in the Book;6/13/15
Already Tomorrow in Hong Kong;6/12/15
I Am Here;6/12/15
Intruders;6/12/15
Me and Earl and the Dying Girl;6/12/15
The Stranger;6/12/15
The Wolfpack;6/12/15
Vendetta;6/12/15
Inside Out;6/9/15
Jurassic World;6/9/15
Soaked in Bleach;6/9/15
Gascoigne;6/8/15
Larry Gaye: Renegade Male Flight Attendant;6/5/15
The Cokeville Miracle;6/5/15
The Nightmare;6/5/15
We Are Still Here;6/5/15
Wild Horses;6/5/15
Grandma;6/4/15
Insidious: Chapter 3;6/4/15
Madame Bovary;6/4/15
Pressure;6/4/15
Entourage;6/3/15
Manglehorn;6/3/15
Return to Sender;5/31/15
Club Life;5/29/15
Heaven Knows What;5/29/15
Hot Girls Wanted;5/29/15
Man Up;5/29/15
Results;5/29/15
The True Cost;5/29/15
Kung Fury;5/28/15
Aloha;5/27/15
San Andreas;5/27/15
The Human Centipede 3 (Final Sequence);5/22/15
Survivor;5/21/15
The Hoarder;5/21/15
Poltergeist;5/20/15
San Andreas Quake;5/19/15
Tomorrowland;5/19/15
Battle For SkyArk;5/18/15
Louder Than Bombs;5/18/15
Bessie;5/16/15
Those People;5/16/15
Area 51;5/15/15
I'll See You in My Dreams;5/15/15
A Royal Night Out;5/14/15
Il racconto dei racconti;5/14/15
Mad Max: Fury Road;5/13/15
Batman Unlimited: Animal Instincts;5/12/15
Bravetown;5/8/15
Hot Pursuit;5/8/15
Infini;5/8/15
Maggie;5/8/15
The D Train;5/8/15
Pitch Perfect 2;5/7/15
Pound of Flesh;5/7/15
Careful What You Wish For;5/6/15
Jack of the Red Hearts;5/6/15
Spy;5/6/15
Absolution;5/4/15
Cleveland Abduction;5/2/15
Some Kind Of Hate;5/2/15
"The Death of ""Superman Lives"": What Happened?";5/1/15
Far from the Madding Crowd;5/1/15
Private Number;5/1/15
Barely Lethal;4/30/15
No Stranger Than Love;4/30/15
Brotherly Love;4/24/15
See You In Valhalla;4/24/15
The Emperor's New Clothes;4/24/15
Little Boy;4/23/15
Tig;4/23/15
Avengers: Age of Ultron;4/22/15
Ashby;4/19/15
Mojave;4/18/15
Requiem for the American Dream;4/18/15
The Driftless Area;4/18/15
Tumbledown;4/18/15
Alex of Venice;4/17/15
Beyond the Reach;4/17/15
Glassland;4/17/15
Monkey Kingdom;4/17/15
The Benefactor;4/17/15
True Story;4/17/15
Unfriended;4/17/15
Bleeding Heart;4/16/15
Paul Blart: Mall Cop 2;4/16/15
Slow West;4/16/15
The Adderall Diaries;4/16/15
The Age of Adaline;4/16/15
Chloe and Theo;4/15/15
The Survivalist;4/15/15
Batman vs. Robin;4/14/15
Dough;4/14/15
Final Girl;4/14/15
From the Dark;4/14/15
Spooks: The Greater Good;4/11/15
The Reconstruction of William Zero;4/11/15
Kill Me Three Times;4/10/15
The Marine 4: Moving Target;4/10/15
The Sisterhood of Night;4/10/15
Woman in Gold;4/10/15
Good Kill;4/9/15
Ooops! Noah is Gone...;4/9/15
The Longest Ride;4/9/15
Lost River;4/8/15
Always Watching: A Marble Hornets Story;4/7/15
Beyond the Mask;4/6/15
If There Be Thorns;4/5/15
Last Knights;4/3/15
Walt Before Mickey;4/3/15
Every Thing Will Be Fine;4/2/15
Furious 7;4/1/15
King Jack;4/1/15
Strange Blood;4/1/15
Dark Places;3/31/15
World of Tomorrow;3/31/15
Comedy Central Roast of Justin Bieber;3/30/15
A Girl Like Her;3/27/15
Dead Rising;3/27/15
Dior and I;3/27/15
Nightlight;3/27/15
The Barber;3/27/15
While We're Young;3/27/15
Get Hard;3/26/15
The Challenger;3/26/15
Star Wars: TIE Fighter;3/24/15
The Witch;3/24/15
Cobain: Montage of Heck;3/23/15
Stalked By My Neighbor;3/21/15
Backcountry;3/20/15
Danny Collins;3/20/15
Do You Believe?;3/20/15
Residue;3/20/15
Spring;3/20/15
Walking with the Dead;3/20/15
Home;3/18/15
Insurgent;3/18/15
Avengers Grimm;3/17/15
He Never Died;3/17/15
Keepers of the Covenant: Making Exodus: Gods and Kings;3/17/15
The Flintstones & WWE: Stone Age Smackdown;3/17/15
Ava's Possessions;3/16/15
Pod;3/16/15
The Diabolical;3/16/15
Child 44;3/15/15
Deep Web;3/15/15
I Hate Christian Laettner;3/15/15
Muck;3/15/15
Night Owls;3/15/15
The Culling;3/15/15
Appropriate Behavior;3/14/15
Hangman;3/14/15
Moonwalkers;3/14/15
Nina Forever;3/14/15
Dawg Fight;3/13/15
Home Sweet Hell;3/13/15
The Invitation;3/13/15
To Write Love on Her Arms;3/13/15
Walter;3/13/15
X+Y;3/13/15
Cinderella;3/12/15
Kidnapping Mr. Heineken;3/12/15
Run All Night;3/11/15
The Man with the Iron Fists 2;3/10/15
Frozen Fever;3/9/15
Aziz Ansari: Live at Madison Square Garden;3/6/15
Bad Asses on the Bayou;3/6/15
Buzzard;3/6/15
Superfast!;3/5/15
Unfinished Business;3/5/15
Chappie;3/4/15
Landmine Goes Click;3/3/15
Clown;3/2/15
Monster High: Haunted;3/2/15
Parallels;3/1/15
The House on Pine Street;2/28/15
After the Ball;2/27/15
Grizzly;2/27/15
The Hunting Ground;2/27/15
Ghoul;2/26/15
The Second Best Exotic Marigold Hotel;2/26/15
Focus;2/25/15
Dragonheart 3: The Sorcerer's Curse;2/24/15
Power/Rangers;2/24/15
The Intruders;2/24/15
VANish;2/24/15
Babysitter's Black Book;2/21/15
Digging Up the Marrow;2/20/15
Hot Tub Time Machine 2;2/20/15
Kumiko, the Treasure Hunter;2/20/15
McFarland, USA;2/20/15
The DUFF;2/20/15
The Gunman;2/16/15
Bad Hair Day;2/13/15
The Lovers;2/13/15
Demonic;2/12/15
Fifty Shades of Grey;2/11/15
Accidental Love;2/10/15
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League;2/10/15
Safelight;2/10/15
Nasty Baby;2/8/15
The Jinx: The Life and Deaths of Robert Durst;2/8/15
3 Nights in the Desert;2/6/15
Boy Meets Girl;2/6/15
The Voices;2/6/15
Shaun the Sheep Movie;2/5/15
The SpongeBob Movie: Sponge Out of Water;2/5/15
Jupiter Ascending;2/4/15
Richard Pryor: Omit the Logic;2/3/15
Beautiful & Twisted;1/31/15
Uncanny;1/31/15
Black or White;1/30/15
Project Almanac;1/30/15
Terminus;1/30/15
Barbie in Princess Power;1/29/15
Robot Overlords;1/29/15
The Lazarus Effect;1/29/15
Justice League: Throne of Atlantis;1/27/15
Louis C.K.: Live at The Comedy Store;1/27/15
Going Clear: Scientology and the Prison of Belief;1/25/15
Meru;1/25/15
Partisan;1/25/15
Bitter Lake;1/24/15
Kingsman: The Secret Service;1/24/15
Racing Extinction;1/24/15
Ratter;1/24/15
With This Ring;1/24/15
Everly;1/23/15
Iliza Shlesinger: Freezing Hot;1/23/15
James White;1/23/15
Strange Magic;1/23/15
The Boy Next Door;1/23/15
The Duke of Burgundy;1/23/15
Bridgend;1/22/15
Stockholm, Pennsylvania;1/22/15
What Happened, Miss Simone?;1/22/15
Ex Machina;1/21/15
Mortdecai;1/21/15
The Atticus Institute;1/20/15
The Eichmann Show;1/20/15
Whitney;1/17/15
Backmask;1/16/15
Spare Parts;1/16/15
Vice;1/16/15
Cyberbully;1/15/15
Hungry Hearts;1/15/15
Tracers;1/15/15
Wild Card;1/14/15
Blackhat;1/13/15
The Ouija Experiment 2: Theatre of Death;1/13/15
Bound;1/9/15
Jurassic City;1/9/15
The Scorpion King: The Lost Throne;1/9/15
The World Made Straight;1/9/15
88;1/6/15
Anarchy Parlor;1/1/15
Deep Dark;1/1/15
Taken 3;1/1/15
The Mask You Live In;1/1/15
Manny;12/31/14
A Most Violent Year;12/30/14
Roald Dahl's Esio Trot;12/30/14
The Woman in Black 2: Angel of Death;12/30/14
Altar;12/27/14
Doctor Who: Last Christmas;12/25/14
Inherent Vice;12/25/14
Into the Woods;12/25/14
Selma;12/25/14
The Gambler;12/25/14
The Interview;12/25/14
Unbroken;12/25/14
Big Eyes;12/24/14
Let's Kill Ward's Wife;12/23/14
Poker Night;12/20/14
Annie;12/19/14
Goodbye to All That;12/17/14
Night at the Museum: Secret of the Tomb;12/17/14
Black Mirror: White Christmas;12/16/14
The Device;12/16/14
Ascension;12/15/14
Kill Dil;12/14/14
Expelled;12/12/14
Seventh Son;12/12/14
Tinker Bell and the Legend of the NeverBeast;12/12/14
Top Five;12/12/14
We Still Kill the Old Way;12/12/14
9 Kisses;12/11/14
American Sniper;12/11/14
The Hobbit: The Battle of the Five Armies;12/10/14
Mythica: A Quest for Heroes;12/8/14
Bill Burr: I'm Sorry You Feel That Way;12/5/14
Black Sea;12/5/14
Comet;12/5/14
Get Santa;12/5/14
Lap Dance;12/5/14
Life Partners;12/5/14
Still Alice;12/5/14
Wild;12/5/14
Charlie's Farm;12/4/14
Dying of the Light;12/4/14
Tell;12/4/14
The Pyramid;12/4/14
Corner Gas: The Movie;12/3/14
Exodus: Gods and Kings;12/3/14
Toy Story That Time Forgot;12/2/14
Grumpy Cat's Worst Christmas Ever;11/29/14
Paddington;11/27/14
Horrible Bosses 2;11/26/14
The Theory of Everything;11/26/14
Against the Sun;11/22/14
Hello Ladies: The Movie;11/22/14
Penguins of Madagascar;11/22/14
A Royal Christmas;11/21/14
All Relative;11/21/14
Happy Ending;11/21/14
Late Phases;11/21/14
The Frame;11/21/14
Atari: Game Over;11/19/14
Eden;11/19/14
The Hunger Games: Mockingjay - Part 1;11/18/14
Banksy Does New York;11/17/14
Top Gear: The Perfect Road Trip 2;11/17/14
Chelsea Peretti: One of the Greats;11/14/14
Happy Valley;11/14/14
The Imitation Game;11/14/14
Dumb and Dumber To;11/12/14
Kajaki;11/12/14
Ardennes Fury;11/11/14
Halo: Nightfall;11/11/14
Merchants of Doubt;11/8/14
Ride;11/8/14
A Merry Friggin' Christmas;11/7/14
Feast;11/7/14
Rosewater;11/7/14
Sex Ed;11/7/14
Skin Trade;11/7/14
Virunga;11/7/14
How to Make Love Like an Englishman;11/6/14
Interstellar: Nolan's Odyssey;11/5/14
Interstellar;11/5/14
Suite FranÃ§aise;11/5/14
I Am Santa Claus;11/4/14
Marvel: 75 Years, From Pulp to Pop!;11/4/14
Debug;11/3/14
Over the Garden Wall;11/3/14
The Last Five Years;11/3/14
Olive Kitteridge;11/2/14
Fear Clinic;10/31/14
Mr. Turner;10/31/14
Plague;10/30/14
Search Party;10/30/14
Tim Maia;10/30/14
Vie Sauvage;10/29/14
Grace;10/28/14
Sheâ€™s Funny That Way;10/27/14
7 Minutes;10/26/14
23 Blast;10/24/14
Ambition;10/24/14
Big Hero 6;10/24/14
Ouija;10/24/14
The Road Within;10/24/14
Nightcrawler;10/23/14
V/H/S: Viral;10/23/14
Hangar 10;10/22/14
John Wick;10/22/14
The Taking of Deborah Logan;10/21/14
See No Evil 2;10/20/14
Treehouse;10/20/14
Zombeavers;10/20/14
Big Driver;10/18/14
Finders Keepers;10/18/14
Old Fashioned;10/18/14
Birdman;10/17/14
Camp X-Ray;10/17/14
Dark Was the Night;10/17/14
Dear White People;10/17/14
Extraterrestrial;10/17/14
Free Fall;10/17/14
Listen Up Philip;10/17/14
Men, Women & Children;10/17/14
Northern Soul;10/17/14
Rudderless;10/17/14
Showrunners: The Art of Running a TV Show;10/17/14
GirlHouse;10/16/14
Son of a Gun;10/16/14
The Best of Me;10/16/14
The Cut;10/16/14
The Town that Dreaded Sundown;10/16/14
Fury;10/15/14
Julia;10/14/14
Stretch;10/14/14
Testament of Youth;10/14/14
The Loft;10/14/14
Serena;10/12/14
Before I Disappear;10/11/14
Escobar: Paradise Lost;10/11/14
Wanderers;10/11/14
'71;10/10/14
Addicted;10/10/14
Catch Hell;10/10/14
Chelsea Handler Uganda Be Kidding Me Live;10/10/14
Citizenfour;10/10/14
Cooties;10/10/14
I Am Ali;10/10/14
The Canal;10/10/14
The Disappearance of Eleanor Rigby: Her;10/10/14
The Disappearance of Eleanor Rigby: Him;10/10/14
The Houses October Built;10/10/14
The Overnighters;10/10/14
Where the Devil Hides;10/10/14
Whiplash;10/10/14
You're Not You;10/10/14
AutÃ³mata;10/9/14
Iris;10/9/14
Kill the Messenger;10/9/14
Monsters: Dark Continent;10/9/14
St. Vincent;10/9/14
Alexander and the Terrible, Horrible, No Good, Very Bad Day;10/8/14
One Direction: Where We Are - The Concert;10/8/14
The Judge;10/8/14
Mercy;10/7/14
Mockingbird;10/7/14
Electric Boogaloo: The Wild, Untold Story of Cannon Films;10/6/14
Berkshire County;10/5/14
Montana;10/5/14
Nowhere Safe;10/5/14
A Good Marriage;10/3/14
Copenhagen;10/3/14
Left Behind;10/3/14
Star Wars Rebels: Spark of Rebellion;10/3/14
Sword of Vengeance;10/3/14
The Rise and Rise of Bitcoin;10/3/14
ABCs of Death 2;10/2/14
Annabelle;10/2/14
Bang Bang;10/2/14
Dracula Untold;10/1/14
Gone Girl;10/1/14
The Book of Life;10/1/14
We'll Never Have Paris;10/1/14
American Muscle;9/30/14
Roger Waters: The Wall;9/29/14
Sniper: Legacy;9/29/14
Billy Elliot: The Musical;9/28/14
By the Gun;9/28/14
The Redwood Massacre;9/28/14
My Little Pony: Equestria Girls - Rainbow Rocks;9/27/14
Northmen: A Viking Saga;9/27/14
Believe Me;9/26/14
Breakup Buddies;9/26/14
Good People;9/26/14
Outcast;9/26/14
Playing It Cool;9/26/14
The Song;9/26/14
Two Night Stand;9/26/14
What We Did on Our Holiday;9/26/14
Laggies;9/25/14
The Keeping Room;9/25/14
The Equalizer;9/24/14
Not Cool;9/23/14
Saint Laurent;9/23/14
Alien Outpost;9/19/14
Khoobsurat;9/19/14
Lost After Dark;9/19/14
Reclaim;9/19/14
Space Station 76;9/19/14
The Riot Club;9/19/14
The Scribbler;9/19/14
Tusk;9/19/14
A Walk Among the Tombstones;9/18/14
Don't Blink;9/18/14
Nowitzki: The Perfect Shot;9/18/14
Rosemary's Baby;9/18/14
The Guest;9/17/14
The Story of Frozen: Making a Disney Animated Classic;9/15/14
Viking: The Berserkers;9/15/14
A Little Chaos;9/13/14
Dolphin Tale 2;9/12/14
Finding Fanny;9/12/14
Honeymoon;9/12/14
Miss Meadows;9/12/14
No Good Deed;9/12/14
Pride;9/12/14
Shelter;9/12/14
The Drop;9/12/14
The Skeleton Twins;9/12/14
American Heist;9/11/14
Before We Go;9/11/14
Maya the Bee Movie;9/11/14
October Gale;9/11/14
The Cobbler;9/11/14
Beyond the Lights;9/10/14
Cut Bank;9/10/14
The Boxtrolls;9/10/14
The Forger;9/10/14
The Maze Runner;9/10/14
This Is Where I Leave You;9/10/14
My Old Lady;9/9/14
The Good Lie;9/9/14
Adult Beginners;9/8/14
Cake;9/7/14
Horsehead;9/7/14
Miss Julie;9/7/14
Paper Planes;9/7/14
Time Out of Mind;9/7/14
The 10 Year Plan;9/6/14
The Face of an Angel;9/6/14
5 Flights Up;9/5/14
Big Game;9/5/14
Falcon Rising;9/5/14
Fort Bliss;9/5/14
Last Days in Vietnam;9/5/14
Mary Kom;9/5/14
The Identical;9/5/14
The Longest Week;9/5/14
The Pact II;9/5/14
Welcome to Me;9/5/14
Boychoir;9/4/14
Burying the Ex;9/4/14
Elephant Song;9/4/14
Housebound;9/4/14
Teen Lust;9/4/14
The Dead Lands;9/4/14
The Green Inferno;9/4/14
Before I Go to Sleep;9/3/14
Cymbeline;9/3/14
Mostly Ghostly: Have You Met My Ghoulfriend?;9/2/14
Dinosaur Island;9/1/14
Houdini;9/1/14
Jackie & Ryan;9/1/14
Midnight Sun;9/1/14
Valley Uprising;9/1/14
Barbie and the Secret Door;8/30/14
The Look of Silence;8/30/14
Cantinflas;8/29/14
Jamie Marks Is Dead;8/29/14
Jessabelle;8/29/14
Jim Jefferies: BARE;8/29/14
Felony;8/28/14
Predestination;8/28/14
Wolves;8/28/14
It Follows;8/27/14
Out of the Dark;8/27/14
The November Man;8/27/14
Lemon Tree Passage;8/25/14
The Remaining;8/25/14
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau;8/24/14
God Help the Girl;8/22/14
Jersey Shore Massacre;8/22/14
Leprechaun: Origins;8/22/14
Mardaani;8/22/14
Preservation;8/22/14
The Drownsman;8/22/14
The Possession of Michael King;8/22/14
The Prince;8/22/14
To Be Takei;8/22/14
When the Game Stands Tall;8/22/14
Wrong Turn 6: Last Resort;8/22/14
If I Stay;8/21/14
Clouds of Sils Maria;8/20/14
Des Lendemains Qui Chantent;8/20/14
Sin City: A Dame to Kill For;8/20/14
Cat Run 2;8/19/14
Zodiac;8/16/14
Bad Turn Worse;8/15/14
Dinosaur 13;8/15/14
Life After Beth;8/15/14
Saints and Soldiers: The Void;8/15/14
ç­‰ä¸€å€‹äººå’–å•¡;8/15/14
As Above, So Below;8/14/14
Hector and the Search for Happiness;8/14/14
Jarhead 2: Field of Fire;8/14/14
My Mistress;8/14/14
White Bird in a Blizzard;8/14/14
Crawl or Die;8/13/14
Let's Be Cops;8/13/14
Red Army;8/13/14
Batman: Assault on Arkham;8/12/14
TEKKEN: A Man Called X;8/12/14
The Giver;8/11/14
About Alex;8/8/14
The One I Love;8/8/14
Kristy;8/7/14
Lilting;8/7/14
Teenage Mutant Ninja Turtles;8/7/14
Colt 45;8/6/14
Into the Storm;8/6/14
Savaged;8/6/14
The Hundred-Foot Journey;8/6/14
The Inbetweeners 2;8/6/14
Mercenaries;8/5/14
The Calling;8/5/14
The Expendables 3;8/4/14
Sharktopus vs Pteracuda;8/2/14
Get on Up;8/1/14
Frontera;7/31/14
That Sugar Film;7/31/14
These Final Hours;7/31/14
Guardians of the Galaxy;7/30/14
Sharknado 2: The Second One;7/30/14
